"price","speed","hd","ram","screen","cd","multi","premium","ads","trend"
2195,33,170,8,15,"no","no","yes",95,2
3065,50,250,4,17,"no","no","yes",95,2
3399,66,230,4,15,"no","no","yes",95,2
1995,33,130,4,14,"no","no","yes",95,2
1595,25,170,4,15,"no","no","yes",95,2
2645,50,250,4,15,"no","no","yes",95,2
2345,50,250,8,14,"no","no","yes",95,2
2795,33,340,16,14,"no","no","yes",95,2
1895,25,130,4,14,"no","no","yes",95,2
2495,50,245,8,14,"no","no","yes",95,2
2599,50,210,4,14,"no","no","yes",95,2
1595,33,85,2,14,"no","no","yes",95,2
1999,33,120,8,14,"no","no","no",95,2
2425,66,250,8,14,"no","no","yes",95,2
2495,33,250,8,15,"no","no","yes",95,2
1795,33,170,4,15,"no","no","yes",95,2
2744,66,245,8,14,"no","no","yes",95,2
3795,33,452,8,14,"no","no","yes",95,2
2745,66,250,4,15,"no","no","yes",95,2
2399,50,212,4,14,"no","no","yes",95,2
2645,33,250,8,17,"no","no","yes",95,2
1945,33,170,4,14,"no","no","yes",95,2
1695,50,85,2,14,"no","no","yes",95,2
2195,50,170,4,14,"no","no","yes",95,2
2815,33,250,4,17,"no","no","yes",95,2
1899,25,120,4,14,"no","no","yes",95,2
2644,50,245,8,14,"no","no","yes",95,2
3795,66,500,8,14,"no","no","yes",95,2
2395,33,245,8,14,"no","no","yes",95,2
1695,33,170,4,14,"no","no","yes",95,2
2575,66,250,8,14,"no","no","yes",95,2
2695,33,340,16,14,"no","no","yes",95,2
2999,66,245,16,15,"no","no","yes",100,3
1899,33,170,4,14,"no","no","yes",100,3
2499,50,210,4,14,"no","no","yes",100,3
1999,33,213,8,14,"no","no","yes",100,3
2055,50,170,4,14,"no","no","yes",100,3
2065,50,170,4,14,"no","no","yes",100,3
2055,33,250,8,14,"no","no","yes",100,3
2099,33,212,4,14,"no","no","yes",100,3
1995,33,130,4,14,"no","no","yes",100,3
2220,33,250,4,14,"yes","no","yes",100,3
3220,66,340,8,15,"yes","no","yes",100,3
3995,66,452,8,14,"no","no","yes",100,3
2785,33,250,8,17,"no","no","yes",100,3
2475,50,250,8,15,"no","no","yes",100,3
1499,25,170,4,14,"no","no","yes",100,3
1595,33,85,2,14,"no","no","yes",100,3
2099,66,120,4,14,"no","no","yes",100,3
2885,66,170,8,15,"no","no","yes",100,3
3795,33,452,8,14,"no","no","yes",100,3
2295,66,170,4,14,"no","no","yes",100,3
3895,66,500,8,15,"no","no","yes",100,3
2395,33,245,8,14,"no","no","yes",100,3
3135,66,250,8,17,"no","no","yes",100,3
2420,33,170,8,15,"yes","no","yes",100,3
2125,66,170,4,14,"no","no","yes",100,3
2985,66,250,8,17,"no","no","yes",100,3
1395,25,85,2,14,"no","no","yes",100,3
2295,33,245,8,14,"no","no","yes",100,3
2095,33,130,4,14,"no","no","yes",100,3
2795,33,340,16,14,"no","no","yes",100,3
1945,33,170,4,14,"no","no","yes",100,3
2635,33,250,8,17,"no","no","yes",100,3
2695,66,250,8,15,"no","no","yes",100,3
2199,50,213,8,14,"no","no","yes",100,3
3895,50,452,8,14,"no","no","yes",100,3
2599,50,212,8,14,"no","no","yes",100,3
2745,66,170,8,14,"no","no","yes",100,3
1920,33,170,4,14,"yes","no","yes",100,3
2895,50,340,16,14,"no","no","yes",100,3
2199,33,210,4,14,"no","no","yes",100,3
2915,50,250,8,17,"no","no","yes",100,3
1999,33,120,8,14,"no","no","no",100,3
2720,33,250,8,15,"yes","no","yes",100,3
1999,33,170,4,14,"no","no","yes",100,3
2195,33,170,8,15,"no","no","yes",100,3
2195,25,245,8,14,"no","no","yes",100,3
2295,66,130,4,14,"no","no","yes",100,3
1595,25,170,4,15,"no","no","yes",100,3
1695,33,170,4,14,"no","no","yes",100,3
1495,25,170,4,14,"no","no","yes",100,3
3795,66,500,8,14,"no","no","yes",100,3
1699,33,120,4,14,"no","no","yes",100,3
1895,25,130,4,14,"no","no","yes",100,3
2335,50,250,8,14,"no","no","yes",100,3
2495,50,245,8,14,"no","no","yes",100,3
2575,66,250,8,14,"no","no","yes",100,3
2495,33,250,8,15,"no","no","yes",100,3
3299,66,245,16,15,"no","no","yes",100,3
2699,66,213,8,14,"no","no","yes",100,3
1695,50,85,2,14,"no","no","yes",100,3
2999,66,170,4,14,"no","no","yes",100,3
2399,66,213,8,14,"no","no","yes",100,3
1499,25,170,4,14,"no","no","yes",100,3
2395,33,170,8,14,"no","no","yes",100,3
1720,25,170,4,14,"yes","no","yes",100,3
1495,33,85,2,14,"no","no","yes",100,3
2399,66,120,4,14,"no","no","yes",100,3
3035,50,250,8,17,"no","no","yes",100,3
2449,33,230,4,14,"no","no","yes",100,3
1775,33,170,4,14,"no","no","yes",100,3
2599,33,245,16,15,"no","no","yes",100,3
2995,66,340,8,15,"no","no","yes",100,3
2345,33,250,8,15,"no","no","yes",100,3
2535,33,170,8,15,"no","no","yes",100,3
2345,50,250,8,14,"no","no","yes",100,3
1899,50,120,4,14,"no","no","yes",100,3
2195,50,130,4,14,"no","no","yes",100,3
2645,50,170,8,14,"no","no","yes",100,3
2785,50,170,8,15,"no","no","yes",100,3
2799,50,245,16,15,"no","no","yes",100,3
2999,66,340,4,15,"no","no","yes",100,3
2095,33,250,4,15,"no","no","yes",100,3
4020,66,500,8,14,"yes","no","yes",100,3
2595,50,250,8,15,"no","no","yes",100,3
2695,33,340,16,14,"no","no","yes",100,3
2195,33,250,8,15,"no","no","yes",100,3
2995,66,340,16,14,"no","no","yes",100,3
2195,50,170,4,14,"no","no","yes",100,3
2399,33,212,8,14,"no","no","yes",100,3
2405,66,250,8,14,"no","no","yes",100,3
1795,66,85,2,14,"no","no","yes",100,3
2225,33,250,8,14,"no","no","yes",100,3
1995,33,250,4,14,"no","no","yes",100,3
2299,50,212,4,14,"no","no","yes",100,3
1795,33,170,4,15,"no","no","yes",100,3
2545,66,250,8,15,"no","no","yes",100,3
2595,66,245,8,14,"no","no","yes",100,3
1399,25,170,4,14,"no","no","yes",100,3
2475,50,250,8,14,"no","no","yes",100,3
2595,25,340,16,14,"no","no","yes",100,3
1695,50,85,2,14,"no","no","yes",108,4
3995,66,452,8,14,"no","no","yes",108,4
2999,66,240,4,15,"no","no","yes",108,4
2495,50,245,8,14,"no","no","yes",108,4
2455,66,250,8,14,"no","no","yes",108,4
2299,50,212,4,14,"no","no","yes",108,4
2690,25,340,16,14,"no","no","yes",108,4
2155,33,250,8,14,"no","no","yes",108,4
2890,33,340,16,14,"no","no","yes",108,4
1899,33,170,4,14,"no","no","yes",108,4
1595,25,170,4,14,"no","no","yes",108,4
1990,25,130,4,14,"no","no","yes",108,4
1895,25,130,4,14,"no","no","yes",108,4
1895,33,170,4,14,"no","no","yes",108,4
2799,50,245,16,15,"no","no","yes",108,4
2590,50,245,8,14,"no","no","yes",108,4
1499,25,170,4,14,"no","no","yes",108,4
2955,50,250,8,17,"no","no","yes",108,4
2285,50,250,8,14,"no","no","yes",108,4
2475,50,250,8,15,"no","no","yes",108,4
3795,33,452,8,14,"no","no","yes",108,4
1999,33,213,8,14,"no","no","yes",108,4
2599,50,212,8,14,"no","no","yes",108,4
2895,50,340,16,14,"no","no","yes",108,4
3895,50,452,8,14,"no","no","yes",108,4
2695,66,250,8,14,"no","no","yes",108,4
1995,50,170,4,14,"no","no","yes",108,4
2399,66,120,4,14,"no","no","yes",108,4
2605,33,250,8,17,"no","no","yes",108,4
2335,66,250,8,14,"no","no","yes",108,4
2195,66,170,4,14,"no","no","yes",108,4
2425,66,250,8,15,"no","no","yes",108,4
2995,66,340,16,14,"no","no","yes",108,4
2599,33,245,16,15,"no","no","yes",108,4
2390,33,245,8,14,"no","no","yes",108,4
1690,33,85,2,14,"no","no","yes",108,4
1495,33,85,2,14,"no","no","yes",108,4
2395,33,250,8,14,"no","no","yes",108,4
2099,33,212,4,14,"no","no","yes",108,4
3090,66,340,16,14,"no","no","yes",108,4
2599,33,240,4,15,"no","no","yes",108,4
1999,33,170,4,14,"no","no","yes",108,4
2195,50,130,4,14,"no","no","yes",108,4
2190,33,130,4,14,"no","no","yes",108,4
2025,50,170,4,14,"no","no","yes",108,4
1699,33,120,4,14,"no","no","yes",108,4
2790,33,340,16,14,"no","no","yes",108,4
1795,33,170,4,14,"no","no","yes",108,4
2990,50,340,16,14,"no","no","yes",108,4
2905,66,250,8,17,"no","no","yes",108,4
2825,33,250,8,17,"no","no","yes",108,4
2390,66,130,4,14,"no","no","yes",108,4
2699,66,213,8,14,"no","no","yes",108,4
2995,66,340,8,15,"no","no","yes",108,4
1590,33,85,2,14,"no","no","yes",108,4
2345,33,250,8,15,"no","no","yes",108,4
2199,50,213,8,14,"no","no","yes",108,4
2290,50,130,4,14,"no","no","yes",108,4
2595,50,250,8,15,"no","no","yes",108,4
2515,33,250,8,15,"no","no","yes",108,4
2145,50,170,4,14,"no","no","yes",108,4
2405,50,250,8,14,"no","no","yes",108,4
2525,50,250,8,14,"no","no","yes",108,4
2595,50,250,8,15,"no","no","yes",108,4
2090,33,130,4,14,"no","no","yes",108,4
2075,66,170,4,14,"no","no","yes",108,4
2799,50,240,4,15,"no","no","yes",108,4
3299,66,245,16,15,"no","no","yes",108,4
2645,66,250,8,15,"no","no","yes",108,4
3125,66,250,8,17,"no","no","yes",108,4
2295,33,245,8,14,"no","no","yes",108,4
1775,33,170,4,14,"no","no","yes",108,4
2095,33,130,4,14,"no","no","yes",108,4
2155,50,250,8,14,"no","no","yes",108,4
3075,50,250,8,17,"no","no","yes",108,4
2815,66,250,8,15,"no","no","yes",108,4
1599,25,170,4,14,"no","no","yes",108,4
2099,33,120,4,14,"no","no","no",108,4
2645,50,250,8,15,"no","no","yes",108,4
1795,66,85,2,14,"no","no","yes",108,4
2035,33,250,8,14,"no","no","yes",108,4
2490,33,245,8,14,"no","no","yes",108,4
3225,66,212,4,15,"no","no","no",108,4
2690,66,245,8,14,"no","no","yes",108,4
2195,25,245,8,14,"no","no","yes",108,4
1890,66,85,2,14,"no","no","yes",108,4
1995,33,130,4,14,"no","no","yes",108,4
2695,33,340,16,14,"no","no","yes",108,4
2595,25,340,16,14,"no","no","yes",108,4
1595,33,85,2,14,"no","no","yes",108,4
1490,25,85,2,14,"no","no","yes",108,4
2125,33,250,8,15,"no","no","yes",108,4
2399,66,213,8,14,"no","no","yes",108,4
2795,33,340,16,14,"no","no","yes",108,4
2290,25,245,8,14,"no","no","yes",108,4
2395,33,245,8,14,"no","no","yes",108,4
2399,33,212,8,14,"no","no","yes",108,4
1790,50,85,2,14,"no","no","yes",108,4
2099,66,120,4,14,"no","no","yes",108,4
1395,25,85,2,14,"no","no","yes",108,4
1895,50,170,4,14,"no","no","yes",108,4
2295,66,130,4,14,"no","no","yes",108,4
2595,66,245,8,14,"no","no","yes",108,4
1899,50,120,4,14,"no","no","yes",108,4
1399,25,170,4,14,"no","no","yes",108,4
2999,66,170,4,14,"no","no","yes",108,4
2999,66,245,16,15,"no","no","yes",108,4
2449,33,230,4,14,"no","no","yes",108,4
1795,33,170,4,14,"no","no","yes",139,5
1899,33,212,4,14,"no","no","yes",139,5
2395,33,340,8,14,"no","no","yes",139,5
2399,50,320,8,14,"no","no","yes",139,5
1595,33,170,4,14,"no","no","yes",139,5
2490,33,340,8,14,"no","no","yes",139,5
2995,66,452,16,14,"no","no","yes",139,5
2890,33,452,16,14,"no","no","yes",139,5
2190,33,214,4,15,"no","no","yes",139,5
2399,66,213,8,14,"no","no","yes",139,5
2285,50,250,8,14,"no","no","yes",139,5
2590,33,340,8,15,"no","no","yes",139,5
2795,33,452,16,14,"no","no","yes",139,5
1495,33,170,4,14,"no","no","yes",139,5
2075,66,170,4,14,"no","no","yes",139,5
2090,33,214,4,15,"no","no","yes",139,5
2195,33,250,8,15,"no","no","yes",139,5
3999,66,340,16,17,"no","no","yes",139,5
1699,33,120,4,14,"no","no","yes",139,5
1995,33,250,8,14,"no","no","yes",139,5
1690,33,107,2,14,"no","no","yes",139,5
3495,33,452,8,14,"no","no","yes",139,5
2195,66,170,4,14,"no","no","yes",139,5
3090,66,452,16,14,"no","no","yes",139,5
2690,25,452,16,14,"no","no","yes",139,5
1895,25,214,4,14,"no","no","yes",139,5
2495,50,250,8,15,"no","no","yes",139,5
2405,50,250,8,14,"no","no","yes",139,5
1595,33,107,2,14,"no","no","yes",139,5
2890,33,452,16,15,"no","no","yes",139,5
2390,25,340,8,14,"no","no","yes",139,5
1690,33,107,2,15,"no","no","yes",139,5
2295,25,340,8,14,"no","no","yes",139,5
2790,33,452,16,14,"no","no","yes",139,5
2695,33,452,16,14,"no","no","yes",139,5
2595,25,452,16,14,"no","no","yes",139,5
1995,33,214,4,14,"no","no","yes",139,5
2049,33,405,4,14,"no","no","yes",139,5
1399,25,170,4,14,"no","no","yes",139,5
2805,33,250,8,17,"no","no","yes",139,5
2019,33,120,4,14,"no","no","no",139,5
3055,50,250,8,17,"no","no","yes",139,5
2990,50,452,16,14,"no","no","yes",139,5
2605,33,250,8,17,"no","no","yes",139,5
2125,33,250,8,15,"no","no","yes",139,5
1490,25,107,2,14,"no","no","yes",139,5
1699,33,170,4,14,"no","no","yes",139,5
2495,33,340,8,14,"no","no","yes",139,5
2599,33,245,16,15,"no","no","yes",139,5
2220,33,250,8,14,"yes","no","yes",139,5
1590,33,107,2,15,"no","no","yes",139,5
1499,33,120,4,14,"no","no","yes",139,5
2625,66,250,8,15,"no","no","yes",139,5
1395,25,107,2,14,"no","no","yes",139,5
2395,33,250,8,14,"no","no","yes",139,5
2420,33,250,8,15,"yes","no","yes",139,5
2425,66,250,8,15,"no","no","yes",139,5
2515,33,250,8,15,"no","no","yes",139,5
2375,50,250,8,15,"no","no","yes",139,5
3105,66,250,8,17,"no","no","yes",139,5
2390,66,214,4,15,"no","no","yes",139,5
2905,66,250,8,17,"no","no","yes",139,5
2690,25,452,16,15,"no","no","yes",139,5
2695,66,250,8,14,"no","no","yes",139,5
1790,50,107,2,14,"no","no","yes",139,5
3495,66,500,8,14,"no","no","yes",139,5
2790,33,452,16,15,"no","no","yes",139,5
1790,50,107,2,15,"no","no","yes",139,5
1795,66,107,2,14,"no","no","yes",139,5
2995,66,340,8,15,"yes","no","yes",139,5
1995,50,170,4,14,"no","no","yes",139,5
2599,50,405,8,14,"no","no","yes",139,5
3720,66,500,8,14,"yes","no","yes",139,5
2155,33,250,8,14,"no","no","yes",139,5
1599,25,170,4,14,"no","no","yes",139,5
2525,50,250,8,14,"no","no","yes",139,5
2299,33,405,8,14,"no","no","yes",139,5
1895,33,170,4,14,"no","no","yes",139,5
1490,25,107,2,15,"no","no","yes",139,5
2035,33,250,8,14,"no","no","yes",139,5
1720,33,170,4,14,"yes","no","yes",139,5
2595,50,250,8,15,"no","no","yes",139,5
2290,50,214,4,15,"no","no","yes",139,5
2455,50,250,8,15,"no","no","yes",139,5
1695,50,107,2,14,"no","no","yes",139,5
2249,50,230,4,14,"no","no","yes",139,5
1999,50,212,4,14,"no","no","yes",139,5
2455,66,250,8,14,"no","no","yes",139,5
2595,50,340,8,14,"no","no","yes",139,5
2859,66,212,4,15,"no","no","no",139,5
2599,50,405,4,15,"no","no","yes",139,5
2855,50,250,8,17,"no","no","yes",139,5
2790,66,340,8,14,"no","no","yes",139,5
3990,66,1000,16,14,"no","no","yes",139,5
3595,50,452,8,14,"no","no","yes",139,5
2195,50,214,4,14,"no","no","yes",139,5
3599,66,405,8,14,"no","no","yes",139,5
2690,50,340,8,15,"no","no","yes",139,5
1999,33,213,8,14,"no","no","yes",139,5
2990,50,452,16,15,"no","no","yes",139,5
1890,66,107,2,14,"no","no","yes",139,5
2190,33,214,4,14,"no","no","yes",139,5
2720,50,250,8,15,"yes","no","yes",139,5
2145,50,170,4,14,"no","no","yes",139,5
2295,66,214,4,14,"no","no","yes",139,5
1990,25,214,4,15,"no","no","yes",139,5
2695,66,340,8,14,"no","no","yes",139,5
3149,66,230,8,14,"no","no","yes",139,5
1775,33,170,4,14,"no","no","yes",139,5
2490,33,340,8,15,"no","no","yes",139,5
3599,33,340,16,17,"no","no","yes",139,5
2690,50,340,8,14,"no","no","yes",139,5
3195,66,540,8,15,"no","no","yes",139,5
3695,66,452,8,14,"no","no","yes",139,5
2645,50,250,8,15,"no","no","yes",139,5
3090,66,452,16,15,"no","no","yes",139,5
1890,66,107,2,15,"no","no","yes",139,5
1999,33,170,4,14,"no","no","yes",139,5
2935,50,250,8,17,"no","no","yes",139,5
1990,25,214,4,14,"no","no","yes",139,5
2290,50,214,4,14,"no","no","yes",139,5
2390,66,214,4,14,"no","no","yes",139,5
2025,50,170,4,14,"no","no","yes",139,5
2095,33,214,4,14,"no","no","yes",139,5
2590,33,340,8,14,"no","no","yes",139,5
1499,25,170,4,14,"no","no","yes",139,5
2325,33,250,8,15,"no","no","yes",139,5
2099,66,120,4,14,"no","no","yes",139,5
2999,66,245,16,15,"no","no","yes",139,5
2790,66,340,8,15,"no","no","yes",139,5
1590,33,107,2,14,"no","no","yes",139,5
2499,50,170,4,14,"no","no","yes",139,5
2575,50,250,8,15,"no","no","yes",139,5
2390,25,340,8,15,"no","no","yes",139,5
1495,33,107,2,14,"no","no","yes",139,5
2895,50,452,16,14,"no","no","yes",139,5
2335,66,250,8,14,"no","no","yes",139,5
2090,33,214,4,14,"no","no","yes",139,5
2815,66,250,8,15,"no","no","yes",139,5
2195,50,250,4,14,"no","no","yes",176,6
1899,33,170,4,14,"no","no","yes",176,6
3599,66,450,8,14,"no","no","yes",176,6
2095,33,250,4,14,"no","no","yes",176,6
2690,33,452,16,15,"no","no","yes",176,6
2795,66,250,8,15,"no","no","yes",176,6
2799,33,240,4,14,"no","no","no",176,6
2698,66,245,8,14,"yes","no","yes",176,6
2390,33,340,8,14,"no","no","yes",176,6
2695,66,340,8,14,"no","no","yes",176,6
2095,33,214,4,14,"no","no","yes",176,6
2599,50,450,8,15,"no","no","yes",176,6
1825,50,170,4,14,"no","no","yes",176,6
1790,50,107,2,15,"no","no","yes",176,6
2720,66,340,8,14,"yes","no","yes",176,6
1295,25,107,2,14,"no","no","yes",176,6
2990,50,452,16,14,"no","no","yes",176,6
1890,66,107,2,15,"no","no","yes",176,6
2595,33,452,16,14,"no","no","yes",176,6
1490,33,107,2,14,"no","no","yes",176,6
2075,50,250,8,14,"no","no","yes",176,6
3699,33,345,16,17,"no","no","yes",176,6
2690,33,452,16,14,"no","no","yes",176,6
2245,66,250,4,15,"no","no","yes",176,6
3999,66,345,16,17,"no","no","yes",176,6
2195,50,214,4,14,"no","no","yes",176,6
2999,50,240,4,14,"no","no","no",176,6
1895,33,212,8,14,"no","no","yes",176,6
2295,50,212,8,15,"no","no","yes",176,6
2190,33,214,4,14,"no","no","yes",176,6
1690,33,107,2,14,"no","no","yes",176,6
1390,25,107,2,15,"no","no","yes",176,6
1890,25,214,4,14,"no","no","yes",176,6
2290,25,340,8,14,"no","no","yes",176,6
1720,33,170,4,14,"yes","no","yes",176,6
2325,66,250,8,15,"no","no","yes",176,6
1699,33,170,4,14,"no","no","yes",176,6
2045,50,250,4,15,"no","no","yes",176,6
2299,66,120,4,14,"no","no","no",176,6
2755,66,250,8,17,"no","no","yes",176,6
2145,66,250,4,14,"no","no","yes",176,6
3090,66,452,16,14,"no","no","yes",176,6
2790,66,340,8,14,"no","no","yes",176,6
2099,33,120,4,14,"no","no","no",176,6
1998,66,130,4,14,"yes","no","yes",176,6
2590,33,340,8,14,"no","no","yes",176,6
3365,50,540,8,17,"no","no","yes",176,6
2545,66,250,8,15,"no","no","yes",176,6
3265,33,540,8,17,"no","no","yes",176,6
2250,66,170,4,14,"yes","no","yes",176,6
2890,33,452,16,14,"no","no","yes",176,6
1599,25,170,4,14,"no","no","yes",176,6
1825,33,170,4,15,"no","no","yes",176,6
2125,66,170,4,15,"no","no","yes",176,6
2245,33,250,8,15,"no","no","yes",176,6
1945,33,250,4,15,"no","no","yes",176,6
2890,33,452,16,15,"no","no","yes",176,6
1599,66,130,4,14,"no","no","yes",176,6
2295,66,214,4,14,"no","no","yes",176,6
1520,25,80,4,14,"yes","no","yes",176,6
2745,33,540,8,14,"no","no","yes",176,6
2899,66,340,8,15,"no","no","yes",176,6
2390,66,214,4,14,"no","no","yes",176,6
1675,25,120,4,14,"no","no","no",176,6
3149,66,230,8,14,"no","no","yes",176,6
2590,25,452,16,14,"no","no","yes",176,6
1999,50,212,4,14,"no","no","yes",176,6
2590,25,452,16,15,"no","no","yes",176,6
1449,25,120,4,14,"no","no","no",176,6
